danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Label
0.803,0.715,2,-3.28,1,0.298,0.295,0.000134,0.0574,0.574,101.085,200960,4,1
0.46,0.567,9,-5.637,1,0.0515,0.239,6.04E-06,0.0934,0.189,168.419,185703,4,1
0.917,0.679,6,-6.083,1,0.266,0.0867,0,0.588,0.453,102.449,191700,4,1
0.567,0.913,8,-6.471,1,0.0736,0.0934,0.000124,0.114,0.792,93.35,210926,4,1
0.448,0.603,7,-7.176,1,0.064,0.433,0,0.0862,0.422,205.272,221307,3,1
0.654,0.672,0,-5.98,0,0.311,0.471,0,0.0781,0.343,181.857,249520,4,1
0.704,0.225,6,-14.454,0,0.0994,0.902,0.657,0.106,0.243,120.006,245426,4,1
0.746,0.45,7,-8.543,1,0.0872,0.0407,0,0.172,0.336,95.998,232853,4,1
0.816,0.726,5,-3.998,0,0.129,0.099,0,0.372,0.65,136.048,253390,4,1
0.791,0.862,9,-3.24,0,0.11,0.037,2.19E-05,0.0814,0.592,123.994,214847,4,1
0.968,0.59,11,-7.826,1,0.259,0.0511,0,0.0792,0.265,129.983,263721,4,1
0.687,0.587,1,-5.772,0,0.124,0.302,0,0.278,0.676,156.575,193094,4,1
0.818,0.563,2,-8.096,1,0.398,0.0253,0,0.0909,0.486,152.108,210675,4,1
0.391,0.595,11,-7.094,0,0.0411,0.913,0.00557,0.145,0.379,93.78,170573,4,1
0.484,0.716,5,-7.193,0,0.167,0.3,0.00214,0.112,0.365,184.131,230027,4,1
0.32,0.734,10,-4.021,1,0.0331,0.133,0.000109,0.165,0.185,113.34,241067,4,1
0.562,0.674,10,-6.049,0,0.0851,0.622,2.04E-05,0.111,0.293,122.699,220293,4,1
0.726,0.431,8,-8.765,0,0.135,0.731,0,0.696,0.348,144.026,173333,4,1
0.909,0.493,3,-6.688,1,0.0735,0.128,0.000147,0.127,0.844,94.016,197120,4,1
0.588,0.793,7,-6.23,1,0.0794,0.466,0.000647,0.913,0.694,76.997,112239,5,1
0.795,0.608,5,-5.222,0,0.0694,0.0767,2.92E-06,0.0853,0.386,110.001,199849,4,1
0.95,0.533,5,-7.022,1,0.148,0.247,0,0.114,0.675,119.869,124056,4,1
0.515,0.378,5,-8.264,1,0.065,0.618,0,0.172,0.536,91.883,201000,4,1
0.838,0.771,1,-3.791,1,0.244,0.0117,0,0.0853,0.405,175.957,245387,4,1
0.659,0.717,8,-4.202,1,0.0581,0.0393,0,0.0769,0.71,103.036,174800,4,1
0.653,0.378,5,-8.273,1,0.0533,0.658,0,0.177,0.54,91.835,201000,4,1
0.258,0.437,11,-6.593,0,0.039,0.101,1.27E-06,0.106,0.0967,180.043,239000,4,1
0.616,0.77,2,-6.5,1,0.142,0.0573,0,0.159,0.412,160.049,208198,4,1
0.611,0.851,9,-2.982,1,0.0598,0.229,0,0.232,0.823,178.032,211613,4,1
0.754,0.583,4,-7.34,0,0.0432,0.32,0.00015,0.144,0.77,122.012,220051,4,1
0.805,0.562,7,-3.117,0,0.105,0.125,4.96E-06,0.148,0.767,172.094,184255,4,1
0.643,0.783,10,-6.458,1,0.0856,0.047,0,0.083,0.579,154.084,163870,4,1
0.876,0.492,11,-8.11,0,0.153,0.0136,0.000283,0.0678,0.4,151.044,166799,4,1
0.735,0.197,3,-13.378,0,0.537,0.768,0.000276,0.296,0.383,147.899,129720,4,1
0.746,0.69,11,-7.956,1,0.164,0.247,0,0.101,0.497,89.977,181733,4,1
0.501,0.674,5,-6.363,1,0.0408,0.00346,3.56E-05,0.282,0.152,155.051,200838,4,1
0.915,0.612,1,-4.535,1,0.407,0.0944,0,0.115,0.758,129.93,118547,4,1
0.746,0.251,11,-16.169,0,0.259,0.782,0.00203,0.106,0.18,139.999,120027,4,1
0.623,0.58,8,-7.076,1,0.332,0.0043,0,0.394,0.301,163.159,173798,4,1
0.734,0.57,7,-7.066,0,0.133,0.847,2.14E-05,0.112,0.689,129.953,95467,4,1
0.797,0.533,0,-9.74,0,0.0412,0.0172,0.000152,0.103,0.329,131.036,146520,4,1
0.816,0.806,2,-3.023,0,0.0563,0.0347,9.01E-05,0.255,0.822,79.987,232550,4,1
0.577,0.522,5,-6.594,0,0.0984,0.13,9.03E-05,0.142,0.119,159.772,218320,4,1
0.876,0.55,2,-5.464,1,0.152,0.0227,4.52E-05,0.294,0.557,129.924,201532,4,1
0.43,0.7,6,-5.35,1,0.264,0.0902,0,0.216,0.731,158.373,183219,4,1
0.375,0.605,0,-7.268,0,0.0729,0.612,0.0448,0.147,0.128,175.946,283227,4,1
0.641,0.857,1,-5.725,0,0.301,0.013,0.00534,0.0695,0.961,122.728,157733,5,1
0.68,0.826,0,-5.487,1,0.0309,0.0212,1.24E-05,0.543,0.644,118.051,215627,4,1
0.555,0.619,0,-7.918,1,0.0314,0.0323,0.000224,0.0917,0.141,95.032,195813,4,1
0.849,0.581,1,-5.243,0,0.0767,0.189,3.61E-06,0.0805,0.779,110.008,198237,4,1
0.381,0.379,4,-9.36,0,0.0501,0.292,2.79E-06,0.0864,0.153,175.067,221596,3,1
0.658,0.715,5,-5.688,0,0.122,0.319,0,0.181,0.473,147.993,212120,4,1
0.789,0.72,8,-5.652,0,0.218,0.223,0,0.129,0.664,122.031,166794,4,1
0.73,0.729,4,-3.434,0,0.0886,0.167,1.39E-06,0.349,0.467,113.012,221820,4,1
0.893,0.618,7,-4.425,0,0.112,0.0827,0,0.542,0.389,119.099,161377,4,1
0.508,0.534,0,-6.522,1,0.0376,0.366,0,0.126,0.222,153.61,223044,4,1
0.705,0.714,11,-6.39,0,0.0792,0.0249,0,0.253,0.434,104.996,209733,4,1
0.556,0.538,8,-5.408,0,0.0382,0.0689,0,0.196,0.291,143.95,223347,4,1
0.677,0.497,5,-5.763,1,0.0809,0.152,0,0.0911,0.419,99.137,236853,4,1
0.674,0.774,11,-7.567,0,0.0892,0.0686,0.00188,0.393,0.33,112.05,176547,4,1
0.672,0.684,4,-5.468,1,0.158,0.604,0,0.081,0.428,180.008,229053,4,1
0.836,0.624,4,-6.75,0,0.184,0.187,0,0.138,0.7,103,139890,4,1
0.559,0.933,2,-7.51,1,0.0561,0.00078,0.0741,0.0595,0.45,141.939,279253,4,1
0.834,0.454,1,-9.75,0,0.201,0.321,6.15E-06,0.114,0.837,81.618,247059,4,1
0.359,0.893,4,-8.036,0,0.0665,3.40E-05,0.0955,0.751,0.185,136.115,323373,4,1
0.872,0.391,0,-9.144,0,0.242,0.469,4.13E-06,0.297,0.437,134.021,119133,4,1
0.732,0.75,11,-6.366,0,0.231,0.00264,0,0.109,0.401,155.096,182707,4,1
0.767,0.671,9,-6.416,0,0.142,0.21,1.12E-05,0.129,0.474,128.072,211859,4,1
0.865,0.5,5,-10.805,1,0.0861,0.0122,7.73E-05,0.098,0.317,92.976,183520,4,1
0.728,0.431,6,-9.966,0,0.0622,0.749,0,0.0996,0.629,130.022,147800,4,1
0.676,0.869,1,-1.573,1,0.0423,0.115,0,0.132,0.594,120.029,167573,4,1
0.743,0.855,5,-3.976,0,0.0436,0.141,0.0045,0.099,0.871,96.989,202453,4,1
0.597,0.45,8,-6.658,1,0.0418,0.223,0,0.382,0.537,178.765,228482,3,1
0.811,0.645,1,-8.008,0,0.104,0.184,0,0.103,0.474,129.967,173761,4,1
0.611,0.688,1,-5.688,1,0.341,0.0264,0,0.251,0.393,178.462,132303,4,1
0.54,0.674,2,-6.351,1,0.0802,0.0553,0.0608,0.112,0.309,89.933,238719,4,1
0.449,0.534,8,-9.493,0,0.0494,0.048,0.0011,0.384,0.342,94.261,180902,3,1
0.772,0.83,7,-5.019,1,0.0599,0.016,0,0.0843,0.697,94.011,194200,4,1
0.712,0.599,5,-6.342,0,0.112,0.412,2.15E-05,0.103,0.588,179.788,178000,4,1
0.739,0.821,1,-4.233,1,0.0852,0.222,9.60E-06,0.311,0.693,171.077,188080,4,1
0.869,0.727,7,-7.397,1,0.123,0.0589,0.00991,0.107,0.92,147.967,143240,4,1
0.75,0.741,9,-4.43,1,0.402,0.447,0,0.121,0.495,79.968,209180,4,1
0.59,0.729,7,-4.95,0,0.0893,0.321,0,0.659,0.712,93.094,202240,4,1
0.807,0.606,3,-8.871,0,0.088,0.0946,0,0.119,0.304,92.988,227520,4,1
0.828,0.581,11,-9.909,1,0.0725,0.0378,0,0.103,0.843,143.995,155060,4,1
0.683,0.53,5,-4.918,0,0.142,0.207,0,0.394,0.645,75.016,190428,4,1
