Track Name,Artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Label,Genre
History,Olivia Holt,0.76,0.63,1,-6.752,1,0.0582,0.096,0,0.113,0.502,100.977,203992,4,1,"pop,electropop,dance,party,dance+pop,pop,disney,female+vocalists"
Said N Done,21 Savage,0.775,0.566,11,-6.661,1,0.283,0.0381,0.000341,0.127,0.479,160.351,231831,4,1,"hip-hop,trap,rap,hip+hop,21+savage,hip-hop,trap,rap"
Years Go By,Bryson Tiller,0.374,0.577,1,-7.085,1,0.302,0.0279,5.60E-06,0.562,0.0658,184.201,179976,4,1,"rnb,hip-hop,trap,soul,rap,rnb,hip-hop,trap"
Caroline,Aminé,0.952,0.318,10,-10.357,1,0.467,0.174,0,0.205,0.665,120.077,209640,4,1,"hip-hop,american,names+of+people,2016+single,rap,hip-hop,hip+hop"
Baby It's Cold Outside (duet with Michael Bublé),Idina Menzel,0.553,0.476,0,-8.869,1,0.0649,0.647,0,0.281,0.558,113.401,166147,3,1,"christmas,broadway,female+vocalists,musicals"
Stunnin' (feat. Harm Franklin),Curtis Waters,0.885,0.685,11,-6.429,0,0.0627,0.33,0,0.148,0.937,99.954,144000,4,1,"hiphop,hip-hop,tiktok,rap,hip+hop,nepal"
Lettre à une femme,Ninho,0.487,0.398,1,-9.901,0,0.0697,0.835,0,0.12,0.905,149.367,157766,4,1,"hip-hop,french,rap,trap,hip-hop,french,rap"
Butterfly Doors,Lil Pump,0.925,0.397,5,-11.265,1,0.169,0.0889,5.12E-05,0.144,0.429,130.008,132923,4,1,"trap,wavy,lil+pump,swag,2-9-19,hip-hop,trap,rap"
Battle Symphony,Linkin Park,0.653,0.839,10,-5.077,1,0.0685,0.0369,0,0.068,0.669,149.034,216281,4,1,"alternative,pop,pop+rock,electropop,rock,nu+metal,alternative+rock"
Power is Power (feat. The Weeknd & Travis Scott),SZA,0.507,0.644,4,-7.485,1,0.0641,0.00413,0,0.217,0.172,179.913,211267,4,1,"rnb,soundtrack,american,urban,sza,rnb,soul,alternative+rnb"
Steal My Girl,One Direction,0.536,0.768,10,-5.948,0,0.0347,0.00433,0,0.114,0.545,77.217,228133,4,1,"pop,2014,british,hitler,only+cocksuckers+can+listen+to+this+shit,pop,british,one+direction"
Turks (with Gunna & ft. Travis Scott),NAV,0.894,0.618,7,-4.356,0,0.129,0.0808,0,0.558,0.379,119.1,161320,4,1,"hip-hop,rap,black+metal,hip-hop,rap,black+metal"
Olabilir,MERO,0.738,0.78,6,-6.677,1,0.0345,0.324,2.51E-06,0.0989,0.779,139.914,208023,4,1,"rap,german,hip-hop,hip+hop,rap,german,hip-hop"
Indeciso,Reik,0.738,0.748,0,-4.902,1,0.0453,0.182,0,0.11,0.896,94.949,217253,4,1,"pop,latin+pop,latin,spanish,reik,pop,latin+pop,latin"
One More Light,Linkin Park,0.593,0.2,8,-11.063,1,0.0311,0.904,0,0.0897,0.17,83.966,255067,4,1,"alternative,ambient+pop,soft,rock,alternative+rock,rock,nu+metal,alternative+rock"
Astronauts,Future,0.732,0.586,1,-7.868,1,0.232,0.0402,2.66E-06,0.121,0.73,76.48,169920,4,1,"juice+wrld,hip-hop,rap,trap"
LIFE LIFE,Damso,0.851,0.62,2,-7.621,1,0.206,0.195,1.15E-05,0.228,0.276,122.003,160667,4,1,"rap,hip-hop,rap+fr,rap+francais,rap+belge,rap,hip-hop,rap+fr"
TOP FLOOR (feat. Travis Scott),Gunna,0.823,0.504,8,-8.65,0,0.16,0.206,0,0.417,0.481,112.985,169907,4,1,"gunna,2020,rap,hip-hop,trap,hip-hop,rap,trap"
Water Under the Bridge,Adele,0.596,0.838,5,-6.52,0,0.0704,0.0189,1.54E-05,0.108,0.472,94.982,240427,4,1,"pop,electro,soul,female+vocalists,british"
Tricheur,Nekfeu,0.756,0.637,1,-7.984,0,0.241,0.403,0,0.177,0.191,138.142,248467,4,1,"rap,french,hip-hop,french+rap,france,rap,french,french+rap"
At Least For Now,Justin Bieber,0.375,0.304,9,-9.897,1,0.0325,0.683,0,0.196,0.295,83.832,149653,3,1,"pop,rnb,black+metal,justin+bieber,hip-hop,pop,rnb,justin+bieber"
1400 / 999 Freestyle,Trippie Redd,0.825,0.572,6,-6.067,0,0.0864,0.0079,0,0.113,0.568,141.991,175954,4,1,"melodic rap,rap,trap"
Drugs & The Internet,Lauv,0.454,0.583,2,-6.596,1,0.133,0.321,1.06E-05,0.332,0.216,89.134,178550,4,1,"indie,jazz,pop,hairy+chest,hunks,indie+pop,pop,indie"
Bruises,Lewis Capaldi,0.736,0.308,4,-7.83,1,0.0677,0.946,0,0.186,0.361,111.202,220492,4,1,"alternative,2010s,2017+single,2016,sad+playlist,pop,scottish,singer-songwriter"
Dear April (Side A - Acoustic),Frank Ocean,0.444,0.152,8,-12.87,0,0.0471,0.953,8.85E-05,0.0966,0.227,115.95,231040,1,1,"frank+ocean,chill,rnb,soul,hip-hop"
I'm a Mess,Bebe Rexha,0.63,0.694,11,-6.257,0,0.0253,0.00281,0,0.0719,0.216,97.005,195519,4,1,"pop,mental+illness,2018,2010s,pop,female+vocalists,electronic"
!,Trippie Redd,0.725,0.543,5,-6.311,1,0.0841,0.0296,0,0.177,0.693,119.961,135339,4,1,"hip-hop,trap,rap,cloud+rap,2019,hip-hop,trap,rap"
FEFE,6ix9ine,0.931,0.387,1,-9.127,1,0.412,0.088,0,0.136,0.376,125.978,179405,4,1,"nicki+minaj,hip+hop,trap,2018,hip-hop,rap,trap"
