Track Name,Artist,Streams,URL,trackID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,Label
Hardest To Love,The Weeknd,4348939,https://open.spotify.com/track/6kWxIqQDsKFYCJGbU4AjCX,6kWxIqQDsKFYCJGbU4AjCX,0.467,0.608,10,-7.847,1,0.0707,0.0909,8.83e-05,0.125,0.10800000000000001,80.957,audio_features,6kWxIqQDsKFYCJGbU4AjCX,spotify:track:6kWxIqQDsKFYCJGbU4AjCX,https://api.spotify.com/v1/tracks/6kWxIqQDsKFYCJGbU4AjCX,https://api.spotify.com/v1/audio-analysis/6kWxIqQDsKFYCJGbU4AjCX,211400,4,1
I'm Sorry,Lil Uzi Vert,2717668,https://open.spotify.com/track/1xcOYJxDa5pObgxY1r0I9c,1xcOYJxDa5pObgxY1r0I9c,0.858,0.547,1,-5.822,1,0.29,0.213,0.0,0.10400000000000001,0.303,128.02,audio_features,1xcOYJxDa5pObgxY1r0I9c,spotify:track:1xcOYJxDa5pObgxY1r0I9c,https://api.spotify.com/v1/tracks/1xcOYJxDa5pObgxY1r0I9c,https://api.spotify.com/v1/audio-analysis/1xcOYJxDa5pObgxY1r0I9c,211883,4,1
Homecoming,Lil Uzi Vert,2669094,https://open.spotify.com/track/6vxU64pcIuQ38O015Zy4qj,6vxU64pcIuQ38O015Zy4qj,0.929,0.563,9,-7.428,1,0.49,0.000592,0.0,0.244,0.353,129.957,audio_features,6vxU64pcIuQ38O015Zy4qj,spotify:track:6vxU64pcIuQ38O015Zy4qj,https://api.spotify.com/v1/tracks/6vxU64pcIuQ38O015Zy4qj,https://api.spotify.com/v1/audio-analysis/6vxU64pcIuQ38O015Zy4qj,213885,4,1
august,Taylor Swift,5022656,https://open.spotify.com/track/3hUxzQpSfdDqwM3ZTFQY0K,3hUxzQpSfdDqwM3ZTFQY0K,0.532,0.623,5,-9.208,1,0.0331,0.5379999999999999,7.28e-05,0.0925,0.40299999999999997,89.93700000000001,audio_features,3hUxzQpSfdDqwM3ZTFQY0K,spotify:track:3hUxzQpSfdDqwM3ZTFQY0K,https://api.spotify.com/v1/tracks/3hUxzQpSfdDqwM3ZTFQY0K,https://api.spotify.com/v1/audio-analysis/3hUxzQpSfdDqwM3ZTFQY0K,261923,4,1
mad woman,Taylor Swift,3902267,https://open.spotify.com/track/2QDyYdZyhlP2fp79KZX8Bi,2QDyYdZyhlP2fp79KZX8Bi,0.5920000000000001,0.6990000000000001,3,-8.995,1,0.0471,0.655,1.6800000000000002e-05,0.114,0.506,141.916,audio_features,2QDyYdZyhlP2fp79KZX8Bi,spotify:track:2QDyYdZyhlP2fp79KZX8Bi,https://api.spotify.com/v1/tracks/2QDyYdZyhlP2fp79KZX8Bi,https://api.spotify.com/v1/audio-analysis/2QDyYdZyhlP2fp79KZX8Bi,237258,4,1
epiphany,Taylor Swift,3614451,https://open.spotify.com/track/08fa9LFcFBTcilB3iq2e2A,08fa9LFcFBTcilB3iq2e2A,0.354,0.267,1,-13.69,1,0.0281,0.731,0.00040199999999999996,0.0858,0.113,94.219,audio_features,08fa9LFcFBTcilB3iq2e2A,spotify:track:08fa9LFcFBTcilB3iq2e2A,https://api.spotify.com/v1/tracks/08fa9LFcFBTcilB3iq2e2A,https://api.spotify.com/v1/audio-analysis/08fa9LFcFBTcilB3iq2e2A,289749,4,1
peace,Taylor Swift,3381893,https://open.spotify.com/track/7MbT4I8qGntX4fMdqMQgke,7MbT4I8qGntX4fMdqMQgke,0.647,0.272,5,-12.905999999999999,1,0.0916,0.9179999999999999,1.73e-05,0.0918,0.33899999999999997,150.04399999999998,audio_features,7MbT4I8qGntX4fMdqMQgke,spotify:track:7MbT4I8qGntX4fMdqMQgke,https://api.spotify.com/v1/tracks/7MbT4I8qGntX4fMdqMQgke,https://api.spotify.com/v1/audio-analysis/7MbT4I8qGntX4fMdqMQgke,234000,4,1
hoax,Taylor Swift,3061511,https://open.spotify.com/track/6MWoRt97mnSTXZhu3ggi9C,6MWoRt97mnSTXZhu3ggi9C,0.662,0.18100000000000002,8,-15.065,1,0.0415,0.966,3.86e-06,0.133,0.429,118.819,audio_features,6MWoRt97mnSTXZhu3ggi9C,spotify:track:6MWoRt97mnSTXZhu3ggi9C,https://api.spotify.com/v1/tracks/6MWoRt97mnSTXZhu3ggi9C,https://api.spotify.com/v1/audio-analysis/6MWoRt97mnSTXZhu3ggi9C,220043,4,1
Lion King On Ice,J. Cole,2120540,https://open.spotify.com/track/1ZvBVbsaNqHEP6ymXaPGlj,1ZvBVbsaNqHEP6ymXaPGlj,0.732,0.6629999999999999,6,-7.6160000000000005,0,0.192,0.0819,0.0,0.115,0.22699999999999998,139.964,audio_features,1ZvBVbsaNqHEP6ymXaPGlj,spotify:track:1ZvBVbsaNqHEP6ymXaPGlj,https://api.spotify.com/v1/tracks/1ZvBVbsaNqHEP6ymXaPGlj,https://api.spotify.com/v1/audio-analysis/1ZvBVbsaNqHEP6ymXaPGlj,210587,4,1
The Climb Back,J. Cole,2205585,https://open.spotify.com/track/0FlfN5cbUUpIHCRH8X1M44,0FlfN5cbUUpIHCRH8X1M44,0.61,0.569,10,-9.447000000000001,0,0.345,0.0398,0.0,0.337,0.287,81.40899999999999,audio_features,0FlfN5cbUUpIHCRH8X1M44,spotify:track:0FlfN5cbUUpIHCRH8X1M44,https://api.spotify.com/v1/tracks/0FlfN5cbUUpIHCRH8X1M44,https://api.spotify.com/v1/audio-analysis/0FlfN5cbUUpIHCRH8X1M44,304640,4,1
Say So (feat. Nicki Minaj),Doja Cat,2099558,https://open.spotify.com/track/11VApNQCWLJdzxWrlmwzUa,11VApNQCWLJdzxWrlmwzUa,0.856,0.6409999999999999,11,-4.64,0,0.204,0.11900000000000001,4.97e-06,0.42700000000000005,0.745,111.00399999999999,audio_features,11VApNQCWLJdzxWrlmwzUa,spotify:track:11VApNQCWLJdzxWrlmwzUa,https://api.spotify.com/v1/tracks/11VApNQCWLJdzxWrlmwzUa,https://api.spotify.com/v1/audio-analysis/11VApNQCWLJdzxWrlmwzUa,206221,4,1
PA' ROMPERLA,Bad Bunny,2953078,https://open.spotify.com/track/5XqCz18k96K8tx6DAYM97i,5XqCz18k96K8tx6DAYM97i,0.772,0.83,7,-5.019,1,0.0599,0.016,0.0,0.0843,0.6970000000000001,94.01100000000001,audio_features,5XqCz18k96K8tx6DAYM97i,spotify:track:5XqCz18k96K8tx6DAYM97i,https://api.spotify.com/v1/tracks/5XqCz18k96K8tx6DAYM97i,https://api.spotify.com/v1/audio-analysis/5XqCz18k96K8tx6DAYM97i,194200,4,1
Stay Gold,BTS,2028372,https://open.spotify.com/track/0UwQTbq7ZtBJ7v530mpaxP,0UwQTbq7ZtBJ7v530mpaxP,0.7240000000000001,0.631,1,-5.403,1,0.0517,0.0873,0.0,0.0752,0.5479999999999999,129.019,audio_features,0UwQTbq7ZtBJ7v530mpaxP,spotify:track:0UwQTbq7ZtBJ7v530mpaxP,https://api.spotify.com/v1/tracks/0UwQTbq7ZtBJ7v530mpaxP,https://api.spotify.com/v1/audio-analysis/0UwQTbq7ZtBJ7v530mpaxP,243733,4,1
TROLLZ (with Nicki Minaj),6ix9ine,2058603,https://open.spotify.com/track/3dVvWnj4D8JGkKvo6Hucso,3dVvWnj4D8JGkKvo6Hucso,0.7440000000000001,0.42200000000000004,1,-8.946,1,0.294,0.0319,0.00011,0.11,0.493,180.00599999999997,audio_features,3dVvWnj4D8JGkKvo6Hucso,spotify:track:3dVvWnj4D8JGkKvo6Hucso,https://api.spotify.com/v1/tracks/3dVvWnj4D8JGkKvo6Hucso,https://api.spotify.com/v1/audio-analysis/3dVvWnj4D8JGkKvo6Hucso,202667,4,1
Sour Candy (with BLACKPINK),Lady Gaga,6225375,https://open.spotify.com/track/1IWNylpZ477gIVUDpJL66u,1IWNylpZ477gIVUDpJL66u,0.752,0.87,9,-3.812,0,0.0623,0.0604,1.12e-05,0.489,0.784,120.006,audio_features,1IWNylpZ477gIVUDpJL66u,spotify:track:1IWNylpZ477gIVUDpJL66u,https://api.spotify.com/v1/tracks/1IWNylpZ477gIVUDpJL66u,https://api.spotify.com/v1/audio-analysis/1IWNylpZ477gIVUDpJL66u,157707,4,1
Better,Khalid,2206849,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ,6zeeWid2sgw4lap2jV61PZ,0.596,0.552,0,-10.277999999999999,0,0.09699999999999999,0.0765,0.33399999999999996,0.10400000000000001,0.11199999999999999,97.949,audio_features,6zeeWid2sgw4lap2jV61PZ,spotify:track:6zeeWid2sgw4lap2jV61PZ,https://api.spotify.com/v1/tracks/6zeeWid2sgw4lap2jV61PZ,https://api.spotify.com/v1/audio-analysis/6zeeWid2sgw4lap2jV61PZ,229320,4,1
Party Girl,StaySolidRocky,2946506,https://open.spotify.com/track/3IJYUaN3tx04S4TYyZHKoP,3IJYUaN3tx04S4TYyZHKoP,0.73,0.439,6,-9.863999999999999,0,0.0609,0.747,0.0,0.0988,0.615,130.09,audio_features,3IJYUaN3tx04S4TYyZHKoP,spotify:track:3IJYUaN3tx04S4TYyZHKoP,https://api.spotify.com/v1/tracks/3IJYUaN3tx04S4TYyZHKoP,https://api.spotify.com/v1/audio-analysis/3IJYUaN3tx04S4TYyZHKoP,147800,4,1
The Woo (feat. 50 Cent & Roddy Ricch),Pop Smoke,2918502,https://open.spotify.com/track/1H7KnK26kc1YyellpbINEn,1H7KnK26kc1YyellpbINEn,0.49,0.618,1,-5.655,1,0.10400000000000001,0.0221,3.77e-06,0.259,0.28600000000000003,99.7,audio_features,1H7KnK26kc1YyellpbINEn,spotify:track:1H7KnK26kc1YyellpbINEn,https://api.spotify.com/v1/tracks/1H7KnK26kc1YyellpbINEn,https://api.spotify.com/v1/audio-analysis/1H7KnK26kc1YyellpbINEn,201600,4,1
GREECE (feat. Drake),DJ Khaled,2358568,https://open.spotify.com/track/35RJhm1pEovTBwnNR0zWad,35RJhm1pEovTBwnNR0zWad,0.695,0.34299999999999997,5,-10.798,1,0.0432,0.0743,1.04e-06,0.107,0.22899999999999998,85.84,audio_features,35RJhm1pEovTBwnNR0zWad,spotify:track:35RJhm1pEovTBwnNR0zWad,https://api.spotify.com/v1/tracks/35RJhm1pEovTBwnNR0zWad,https://api.spotify.com/v1/audio-analysis/35RJhm1pEovTBwnNR0zWad,218902,4,1
Rain On Me (with Ariana Grande),Lady Gaga,6894472,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9,7ju97lgwC2rKQ6wwsf9no9,0.672,0.855,9,-3.764,1,0.0397,0.021,0.0,0.32299999999999995,0.6459999999999999,123.056,audio_features,7ju97lgwC2rKQ6wwsf9no9,spotify:track:7ju97lgwC2rKQ6wwsf9no9,https://api.spotify.com/v1/tracks/7ju97lgwC2rKQ6wwsf9no9,https://api.spotify.com/v1/audio-analysis/7ju97lgwC2rKQ6wwsf9no9,182200,4,1
Good News,Mac Miller,4374428,https://open.spotify.com/track/3ClBKQkKoaUQ6UOhe2xlJK,3ClBKQkKoaUQ6UOhe2xlJK,0.794,0.32,1,-12.92,0,0.17300000000000001,0.853,0.134,0.11199999999999999,0.24100000000000002,174.088,audio_features,3ClBKQkKoaUQ6UOhe2xlJK,spotify:track:3ClBKQkKoaUQ6UOhe2xlJK,https://api.spotify.com/v1/tracks/3ClBKQkKoaUQ6UOhe2xlJK,https://api.spotify.com/v1/audio-analysis/3ClBKQkKoaUQ6UOhe2xlJK,342040,4,1
PICK UP (feat. Quavo),DaBaby,2041369,https://open.spotify.com/track/5gNOINI5dXZVom2b36LMOd,5gNOINI5dXZVom2b36LMOd,0.915,0.612,1,-4.535,1,0.40700000000000003,0.0944,0.0,0.115,0.758,129.93,audio_features,5gNOINI5dXZVom2b36LMOd,spotify:track:5gNOINI5dXZVom2b36LMOd,https://api.spotify.com/v1/tracks/5gNOINI5dXZVom2b36LMOd,https://api.spotify.com/v1/audio-analysis/5gNOINI5dXZVom2b36LMOd,118547,4,1
Save Your Tears,The Weeknd,3305875,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g,5QO79kh1waicV47BqGRL3g,0.68,0.826,0,-5.487,1,0.0309,0.0212,1.24e-05,0.5429999999999999,0.644,118.051,audio_features,5QO79kh1waicV47BqGRL3g,spotify:track:5QO79kh1waicV47BqGRL3g,https://api.spotify.com/v1/tracks/5QO79kh1waicV47BqGRL3g,https://api.spotify.com/v1/audio-analysis/5QO79kh1waicV47BqGRL3g,215627,4,1
MAMACITA,Black Eyed Peas,2460639,https://open.spotify.com/track/14wf185UxfNbSy8dwt4r4q,14wf185UxfNbSy8dwt4r4q,0.894,0.635,2,-6.928999999999999,1,0.0473,0.193,0.00105,0.0823,0.428,105.01299999999999,audio_features,14wf185UxfNbSy8dwt4r4q,spotify:track:14wf185UxfNbSy8dwt4r4q,https://api.spotify.com/v1/tracks/14wf185UxfNbSy8dwt4r4q,https://api.spotify.com/v1/audio-analysis/14wf185UxfNbSy8dwt4r4q,249143,4,1
Turks (feat. Travis Scott),NAV,2855163,https://open.spotify.com/track/0lSZh5W0wDeurkGzLYY6hf,0lSZh5W0wDeurkGzLYY6hf,0.893,0.618,7,-4.425,0,0.11199999999999999,0.0827,0.0,0.542,0.389,119.09899999999999,audio_features,0lSZh5W0wDeurkGzLYY6hf,spotify:track:0lSZh5W0wDeurkGzLYY6hf,https://api.spotify.com/v1/tracks/0lSZh5W0wDeurkGzLYY6hf,https://api.spotify.com/v1/audio-analysis/0lSZh5W0wDeurkGzLYY6hf,161377,4,1
FIND MY WAY,DaBaby,2300151,https://open.spotify.com/track/1gVCEnryJhkdQcuC0Kbvor,1gVCEnryJhkdQcuC0Kbvor,0.836,0.624,4,-6.75,0,0.184,0.187,0.0,0.138,0.7,103.0,audio_features,1gVCEnryJhkdQcuC0Kbvor,spotify:track:1gVCEnryJhkdQcuC0Kbvor,https://api.spotify.com/v1/tracks/1gVCEnryJhkdQcuC0Kbvor,https://api.spotify.com/v1/audio-analysis/1gVCEnryJhkdQcuC0Kbvor,139890,4,1
BELIEVE IT,PARTYNEXTDOOR,2873556,https://open.spotify.com/track/4HDCLYli2SUdkq9OjmvhSD,4HDCLYli2SUdkq9OjmvhSD,0.43,0.7,6,-5.35,1,0.264,0.0902,0.0,0.21600000000000003,0.731,158.373,audio_features,4HDCLYli2SUdkq9OjmvhSD,spotify:track:4HDCLYli2SUdkq9OjmvhSD,https://api.spotify.com/v1/tracks/4HDCLYli2SUdkq9OjmvhSD,https://api.spotify.com/v1/audio-analysis/4HDCLYli2SUdkq9OjmvhSD,183219,4,1
Level of Concern,Twenty One Pilots,2175414,https://open.spotify.com/track/6xZ4Q2k2ompmDppyeESIY8,6xZ4Q2k2ompmDppyeESIY8,0.754,0.583,4,-7.34,0,0.0432,0.32,0.00015,0.14400000000000002,0.77,122.012,audio_features,6xZ4Q2k2ompmDppyeESIY8,spotify:track:6xZ4Q2k2ompmDppyeESIY8,https://api.spotify.com/v1/tracks/6xZ4Q2k2ompmDppyeESIY8,https://api.spotify.com/v1/audio-analysis/6xZ4Q2k2ompmDppyeESIY8,220051,4,1
@ MEH,Playboi Carti,2784422,https://open.spotify.com/track/5UusfWUMMLEXLMc1ViNZoe,5UusfWUMMLEXLMc1ViNZoe,0.8759999999999999,0.49200000000000005,11,-8.11,0,0.153,0.0136,0.000283,0.0678,0.4,151.04399999999998,audio_features,5UusfWUMMLEXLMc1ViNZoe,spotify:track:5UusfWUMMLEXLMc1ViNZoe,https://api.spotify.com/v1/tracks/5UusfWUMMLEXLMc1ViNZoe,https://api.spotify.com/v1/audio-analysis/5UusfWUMMLEXLMc1ViNZoe,166799,4,1
Breaking Me,Topic,3168249,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po,3H7ihDc1dqLriiWXwsc2po,0.789,0.72,8,-5.652,0,0.218,0.223,0.0,0.129,0.664,122.031,audio_features,3H7ihDc1dqLriiWXwsc2po,spotify:track:3H7ihDc1dqLriiWXwsc2po,https://api.spotify.com/v1/tracks/3H7ihDc1dqLriiWXwsc2po,https://api.spotify.com/v1/audio-analysis/3H7ihDc1dqLriiWXwsc2po,166794,4,1
