Track Name,Artist,Streams,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,analysis_url,duration_ms,time_signature,Label
PICK UP (feat. Quavo),DaBaby,2041369,0.915,0.612,1,-4.535,1,0.407,0.0944,0.0,0.115,0.758,129.93,https://api.spotify.com/v1/audio-analysis/5gNOINI5dXZVom2b36LMOd,118547,4,1
Save Your Tears,The Weeknd,3305875,0.68,0.826,0,-5.487,1,0.0309,0.0212,1.24e-05,0.5429999999999999,0.644,118.051,https://api.spotify.com/v1/audio-analysis/5QO79kh1waicV47BqGRL3g,215627,4,1
MAMACITA,Black Eyed Peas,2460639,0.894,0.635,2,-6.9289999999999985,1,0.0473,0.193,0.00105,0.0823,0.428,105.013,https://api.spotify.com/v1/audio-analysis/14wf185UxfNbSy8dwt4r4q,249143,4,1
Turks (feat. Travis Scott),NAV,2855163,0.893,0.618,7,-4.425,0,0.112,0.0827,0.0,0.542,0.389,119.099,https://api.spotify.com/v1/audio-analysis/0lSZh5W0wDeurkGzLYY6hf,161377,4,1
FIND MY WAY,DaBaby,2300151,0.836,0.624,4,-6.75,0,0.184,0.187,0.0,0.138,0.7,103.0,https://api.spotify.com/v1/audio-analysis/1gVCEnryJhkdQcuC0Kbvor,139890,4,1
BELIEVE IT,PARTYNEXTDOOR,2873556,0.43,0.7,6,-5.35,1,0.264,0.0902,0.0,0.21600000000000005,0.731,158.373,https://api.spotify.com/v1/audio-analysis/4HDCLYli2SUdkq9OjmvhSD,183219,4,1
Level of Concern,Twenty One Pilots,2175414,0.754,0.583,4,-7.34,0,0.0432,0.32,0.00015,0.14400000000000002,0.77,122.012,https://api.spotify.com/v1/audio-analysis/6xZ4Q2k2ompmDppyeESIY8,220051,4,1
@ MEH,Playboi Carti,2784422,0.8759999999999999,0.4920000000000001,11,-8.11,0,0.153,0.0136,0.000283,0.0678,0.4,151.04399999999995,https://api.spotify.com/v1/audio-analysis/5UusfWUMMLEXLMc1ViNZoe,166799,4,1
Breaking Me,Topic,3168249,0.789,0.72,8,-5.652,0,0.218,0.223,0.0,0.129,0.664,122.031,https://api.spotify.com/v1/audio-analysis/3H7ihDc1dqLriiWXwsc2po,166794,4,1
Amarillo,J Balvin,3411563,0.6409999999999999,0.857,1,-5.725,0,0.301,0.013,0.00534,0.0695,0.961,122.728,https://api.spotify.com/v1/audio-analysis/6zEgnpM0qYmHLDnh8WPejL,157733,5,1
ily (i love you baby) (feat. Emilee),Surf Mesa,2956048,0.674,0.774,11,-7.567,0,0.0892,0.0686,0.00188,0.393,0.33,112.05,https://api.spotify.com/v1/audio-analysis/62aP9fBQKYKxi7PDXwcUAS,176547,4,1
I’m Ready (with Demi Lovato),Sam Smith,2376047,0.501,0.674,5,-6.363,1,0.0408,0.00346,3.5600000000000005e-05,0.282,0.152,155.05100000000004,https://api.spotify.com/v1/audio-analysis/1fipvP2zmef6vN2IwXfJhY,200838,4,1
Favorito,Camilo,2050220,0.606,0.853,9,-2.975,1,0.0545,0.237,0.0,0.251,0.8220000000000001,178.043,https://api.spotify.com/v1/audio-analysis/0jT8Nl0shPS8115is0wD2Q,209766,4,1
In Your Eyes,The Weeknd,4822111,0.667,0.7190000000000001,7,-5.371,0,0.0346,0.00285,8.1e-05,0.0736,0.7170000000000001,100.021,https://api.spotify.com/v1/audio-analysis/7szuecWAPwGoV1e5vGu8tl,237520,4,1
Savage,Megan Thee Stallion,2514757,0.843,0.741,11,-5.609,1,0.334,0.0252,0.0,0.096,0.68,168.983,https://api.spotify.com/v1/audio-analysis/55CHeLEfn5iJ0IIkgaa4si,155497,4,1
ROCKSTAR (feat. Roddy Ricch),DaBaby,5886504,0.746,0.69,11,-7.956,1,0.16399999999999998,0.247,0.0,0.101,0.4970000000000001,89.977,https://api.spotify.com/v1/audio-analysis/7ytR5pFWmSjzHJIeQkgog4,181733,4,1
Break My Heart,Dua Lipa,4276985,0.73,0.7290000000000001,4,-3.434,0,0.0883,0.16699999999999998,1.39e-06,0.349,0.467,113.013,https://api.spotify.com/v1/audio-analysis/017PF4Q3l4DBUiWoXk4OWT,221820,4,1
Toosie Slide,Drake,6574812,0.8340000000000001,0.454,1,-9.75,0,0.201,0.321,6.15e-06,0.114,0.8370000000000001,81.618,https://api.spotify.com/v1/audio-analysis/127QTOFJsJQp5LbJbu3A1y,247059,4,1
Futsal Shuffle 2020,Lil Uzi Vert,1921242,0.8809999999999999,0.457,7,-8.191,0,0.156,0.0327,0.0,0.231,0.29600000000000004,136.97,https://api.spotify.com/v1/audio-analysis/2Ec33AVlkTTq8BHFgBTdQs,198913,4,1
Rare,Selena Gomez,4003549,0.838,0.545,5,-6.712999999999999,1,0.0706,0.208,8.01e-05,0.103,0.631,114.998,https://api.spotify.com/v1/audio-analysis/7HMmFQsKsljwTw8bS7lu19,220590,4,1
Look At Her Now,Selena Gomez,2028203,0.753,0.564,10,-7.907999999999999,0,0.252,0.114,0.0273,0.359,0.55,77.342,https://api.spotify.com/v1/audio-analysis/7eOkHIcaoUhngxxypM5Ajr,162596,5,1
WAP (feat. Megan Thee Stallion),Cardi B,7175768,0.935,0.454,1,-7.508999999999999,1,0.375,0.0194,0.0,0.0824,0.35700000000000004,133.07299999999998,https://api.spotify.com/v1/audio-analysis/4Oun2ylbjFKMPTiaSbbCih,187541,4,1
Dynamite,BTS,7778950,0.746,0.765,6,-4.41,0,0.0993,0.0112,0.0,0.0936,0.737,114.044,https://api.spotify.com/v1/audio-analysis/0v1x6rN6JHRapa03JElljE,199054,4,1
For The Night (feat. Lil Baby & DaBaby),Pop Smoke,3541237,0.823,0.586,6,-6.606,0,0.2,0.114,0.0,0.193,0.34700000000000003,125.971,https://api.spotify.com/v1/audio-analysis/0PvFJmanyNQMseIFrU708S,190476,4,1
"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix",Jack Harlow,2536919,0.904,0.723,11,-5.224,0,0.26,0.0631,0.0,0.185,0.835,145.013,https://api.spotify.com/v1/audio-analysis/2MbdDtCv5LUVjYy9RuGTgC,227478,4,1
Relación,Sech,2297405,0.805,0.562,7,-3.117,0,0.105,0.125,4.96e-06,0.14800000000000002,0.767,172.09400000000005,https://api.spotify.com/v1/audio-analysis/3ZG8N7aWw2meb6UrI5ZmnZ,184255,4,1
Midnight Sky,Miley Cyrus,2742579,0.705,0.8140000000000001,4,-5.466,0,0.0346,0.00115,0.00312,0.203,0.259,110.0,https://api.spotify.com/v1/audio-analysis/27ycaQnQAxaPiyeg3nr2aB,223279,4,1
Heather,Conan Gray,2693053,0.35700000000000004,0.425,5,-7.301,1,0.0333,0.584,0.0,0.322,0.27,102.078,https://api.spotify.com/v1/audio-analysis/4xqrdfXkTW4T0RauPLv3WA,198040,3,1
Wishing Well,Juice WRLD,4340046,0.65,0.613,9,-6.13,0,0.128,0.00336,0.0,0.267,0.0804,149.972,https://api.spotify.com/v1/audio-analysis/2U5WueTLIK5WJLD7mvDODv,194621,4,1
Tattoo - Remix with Camilo,Rauw Alejandro,2278864,0.848,0.637,9,-5.1320000000000014,1,0.156,0.0413,0.0,0.0521,0.698,96.988,https://api.spotify.com/v1/audio-analysis/4ZRrLHqzhGRXYj2qcB4s5S,222680,4,1
"Agua (with J Balvin) - Music From ""Sponge On The Run"" Movie",Tainy,2293470,0.76,0.6579999999999999,7,-5.275,1,0.275,0.162,0.0,0.195,0.565,100.202,https://api.spotify.com/v1/audio-analysis/1pqnQ41XbfKjaFu6M0eGJp,157944,4,1
La Curiosidad,Jay Wheeler,2379352,0.845,0.677,11,-4.798,0,0.136,0.269,0.000917,0.108,0.68,90.01299999999998,https://api.spotify.com/v1/audio-analysis/4HYDUMY0xSpeBr0AMY9cUz,219048,4,1
Smile (with The Weeknd),Juice WRLD,4082751,0.6940000000000001,0.685,6,-6.535,0,0.133,0.224,0.0,0.124,0.306,158.83100000000005,https://api.spotify.com/v1/audio-analysis/6wQlQrTY5mVS8EGaFZVwVF,196180,4,1
"Ay, DiOs Mío!",KAROL G,2683122,0.718,0.7120000000000001,11,-4.3660000000000005,1,0.174,0.512,0.00121,0.104,0.531,180.03400000000005,https://api.spotify.com/v1/audio-analysis/7x4ASXYEKfQBCewcZhK776,189653,4,1
Savage Love (Laxed - Siren Beat),Jawsh 685,5222103,0.767,0.481,0,-8.52,0,0.0803,0.234,0.0,0.269,0.7609999999999999,150.076,https://api.spotify.com/v1/audio-analysis/1xQ6trAsedVPCdbtDAmk0c,171375,4,1
Come & Go (with Marshmello),Juice WRLD,5350650,0.625,0.8140000000000001,0,-5.181,1,0.0657,0.0172,0.0,0.158,0.535,144.991,https://api.spotify.com/v1/audio-analysis/2Y0wPrPQBrGhoLn14xRYCG,205485,4,1
