danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Label
0.91,0.6,6,-4.39,0,0.08,0.45,0,0.09,0.81,110.08,180788,4,1
0.71,0.55,10,-8.49,1,0.35,0.65,0,0.13,0.54,84,160000,4,1
0.83,0.49,0,-9.74,1,0.03,0.06,0,0.13,0.79,120.15,257800,4,1
0.8,0.56,8,-5.82,1,0.4,0.03,0,0.11,0.32,139.99,150857,4,1
0.71,0.61,11,-7.49,1,0.11,0.5,0,0.12,0.43,142.03,175756,4,1
0.75,0.38,6,-10.16,0,0.2,0.53,0,0.18,0.59,130,147673,4,1
0.55,0.51,4,-7.43,0,0.1,0.2,0,0.08,0.56,119.99,160000,5,1
0.65,0.67,2,-5.89,1,0.08,0.02,0,0.11,0.27,84.01,182922,4,1
0.88,0.79,8,-5.19,1,0.12,0.23,0,0.12,0.59,113.02,264834,4,1
0.66,0.67,4,-6.36,0,0.05,0.54,0,0.1,0.49,75.06,147548,4,1
0.75,0.5,8,-6.18,1,0.14,0.44,0,0.09,0.43,76.97,168685,4,1
0.6,0.53,5,-7.37,0,0.09,0.08,0,0.14,0.52,150.07,179464,4,1
0.29,0.64,4,-6.94,0,0.08,0.13,0,0.14,0.15,66.42,173114,3,1
0.71,0.67,7,-6.33,0,0.26,0.08,0,0.1,0.24,163.1,200629,4,1
0.31,0.53,11,-11.34,0,0.11,0.97,0,0.22,0.58,174.8,70395,4,1
0.87,0.73,7,-7.4,1,0.12,0.06,0.01,0.11,0.92,147.97,143240,4,1
0.81,0.55,9,-6.64,1,0.06,0.32,0,0.11,0.86,148.01,212869,4,1
0.85,0.46,5,-6.16,1,0.14,0.12,0,0.35,0.55,120.02,225773,4,1
0.72,0.71,1,-5.71,1,0.06,0.01,0,0.35,0.82,170,189176,4,1
0.67,0.8,0,-4.04,1,0.04,0.03,0,0.69,0.18,116,179760,4,1
0.74,0.85,0,-4.84,1,0.04,0,0,0.09,0.42,121.03,221667,4,1
0.64,0.79,0,-5.75,0,0.05,0.16,0,0.68,0.09,122.97,244880,4,1
0.18,0.3,2,-14.53,1,0.04,0.47,0.89,0.53,0.11,75.82,41867,5,1
0.84,0.56,8,-6.79,1,0.44,0.16,0,0.2,0.31,118.84,196639,4,1
0.74,0.6,1,-6.67,0,0.42,0.01,0,0.79,0.28,139.89,227474,4,1
0.9,0.63,1,-5.61,1,0.22,0.03,0,0.09,0.24,145.98,224243,4,1
0.76,0.44,4,-6.63,1,0.04,0.52,0,0.07,0.63,139,168200,4,1
0.57,0.44,0,-7.56,0,0.04,0.81,0,0.21,0.69,117.13,136907,4,1
0.56,0.31,10,-10.45,1,0.03,0.88,0,0.11,0.46,119.85,190898,4,1
0.52,0.48,9,-9.84,1,0.03,0.31,0,0.17,0.41,135.89,195097,4,1
0.59,0.38,0,-8.76,1,0.03,0.6,0,0.1,0.5,95.94,294521,4,1
0.6,0.49,4,-10.77,1,0.03,0.9,0,0.09,0.42,94.93,208907,4,1
0.55,0.41,2,-10.04,1,0.03,0.69,0,0.06,0.38,110.11,208978,4,1
0.65,0.45,4,-11.14,0,0.06,0.84,0,0.11,0.45,83.43,252881,4,1
0.46,0.26,0,-10.63,1,0.03,0.81,0,0.07,0.11,129.86,255894,4,1
0.67,0.85,10,-4.85,1,0.41,0.18,0,0.3,0.38,137.22,189827,4,1
0.71,0.6,5,-6.34,0,0.11,0.41,0,0.1,0.59,179.79,178000,4,1
0.61,0.76,2,-5.61,1,0.12,0.3,0,0.63,0.38,128.02,180129,4,1
0.59,0.51,8,-8.82,0,0.07,0.72,0,0.12,0.24,75.86,235480,4,1
0.69,0.66,7,-8.51,1,0.04,0.47,0,0.11,0.71,147.92,230999,4,1
0.82,0.5,6,-6.94,0,0.16,0.05,0,0.11,0.78,109.4,185419,5,1
0.79,0.64,4,-6.29,0,0.34,0.03,0,0.09,0.39,103.87,177693,4,1
0.67,0.62,2,-7.16,1,0.31,0.01,0,0.64,0.2,75.06,337147,4,1
0.86,0.48,10,-5.79,1,0.22,0.2,0,0.18,0.5,86.46,192932,4,1
0.8,0.66,1,-6.14,0,0.08,0.25,0,0.11,0.46,140.04,195429,4,1
0.61,0.88,4,-4.11,0,0.05,0.08,0,0.25,0.68,178.04,210795,4,1
0.79,0.73,9,-3.84,1,0.33,0.03,0,0.04,0.9,159.99,175813,4,1
0.47,0.82,7,-3.68,0,0.16,0.48,0,0.61,0.37,77.89,222929,4,1
0.46,0.45,9,-9.3,0,0.05,0.34,0,0.07,0.32,86.32,269680,4,1
